feature_1,class
-39.303673,glioma
-40.610012,glioma
-20.613234,glioma
-25.924608,glioma
-18.989277,glioma
-20.677822,glioma
-21.532389,glioma
-30.579597,glioma
-26.789341,glioma
-35.48649,glioma
-8.7396755,glioma
-20.063597,glioma
-8.013569,glioma
-40.83051,glioma
-43.835247,glioma
-40.964146,glioma
-39.228542,glioma
-37.236126,glioma
-19.799063,glioma
-22.007723,glioma
-16.547089,glioma
-17.51885,glioma
-10.525266,glioma
-19.151983,glioma
-18.660559,glioma
-23.694687,glioma
-29.302404,glioma
-19.224405,glioma
-14.9341545,glioma
-5.87658,glioma
-12.968856,glioma
-24.61732,glioma
-37.26536,glioma
-44.522717,glioma
-37.77984,glioma
-28.657305,glioma
-29.368717,glioma
-13.943381,glioma
-39.333054,glioma
-25.776796,glioma
-12.397946,glioma
-12.544405,glioma
-53.248104,glioma
-43.77411,glioma
-46.041935,glioma
-39.47083,glioma
-34.226025,glioma
-47.965115,glioma
-36.718594,glioma
-42.845165,glioma
-30.44159,glioma
-26.330227,glioma
-38.38637,glioma
-27.88904,glioma
-37.27823,glioma
-25.830286,glioma
-47.132595,glioma
-41.67597,glioma
-28.030098,glioma
-26.431131,glioma
-34.711052,glioma
-30.309391,glioma
-32.613346,glioma
-45.86351,glioma
-32.35546,glioma
-33.381268,glioma
-29.5431,glioma
-26.027407,glioma
-15.897231,glioma
-14.084009,glioma
-16.685091,glioma
-29.853163,glioma
-34.278816,glioma
-33.393524,glioma
-15.027976,glioma
-25.57704,glioma
-28.038925,glioma
-40.296124,glioma
-23.430758,glioma
-28.22251,glioma
-24.215143,glioma
-26.345144,glioma
-12.418086,glioma
-19.365753,glioma
-20.295298,glioma
-15.326156,glioma
-12.737571,glioma
-13.174788,glioma
-27.118162,glioma
-34.942238,glioma
-56.80885,glioma
-51.25639,glioma
-55.60133,glioma
-59.00067,glioma
-19.500547,glioma
-14.283556,glioma
-26.645624,glioma
-15.654806,glioma
-20.267822,glioma
-22.050716,glioma
-30.480633,glioma
-28.043253,glioma
-22.585087,glioma
-21.79456,glioma
-22.192356,glioma
-26.503592,glioma
-31.392138,glioma
-35.936565,glioma
-16.822844,glioma
-24.473364,glioma
-32.860977,glioma
-34.818264,glioma
-27.470058,glioma
-32.35303,glioma
-29.056753,glioma
-26.25288,glioma
-23.948736,glioma
-16.838436,glioma
-13.388059,glioma
-18.056185,glioma
-12.795516,glioma
-18.365532,glioma
-9.123952,glioma
-8.136252,glioma
-7.3455205,glioma
-12.668548,glioma
-26.834177,glioma
-23.370163,glioma
-32.373177,glioma
-29.71366,glioma
-12.219498,glioma
-3.6633596,glioma
2.4339244,glioma
3.321938,glioma
-8.641954,glioma
-8.688002,glioma
-15.949603,glioma
-8.800405,glioma
-6.746825,glioma
-22.193916,glioma
-23.39708,glioma
-35.57586,glioma
-14.831177,glioma
-15.364834,glioma
-14.734603,glioma
-7.8417826,glioma
-13.569366,glioma
-7.004818,glioma
-5.6932054,glioma
0.15030879,glioma
-21.173927,glioma
2.7180927,glioma
1.486584,glioma
-23.568636,glioma
-3.5635662,glioma
-3.0209985,glioma
-4.5248423,glioma
-11.332403,glioma
-3.944147,glioma
-25.495749,glioma
-18.534718,glioma
-17.838129,glioma
-2.796996,glioma
6.5419073,glioma
-4.788889,glioma
5.4361835,glioma
1.217092,glioma
-37.088108,glioma
-24.695192,glioma
5.662556,glioma
-17.490252,glioma
-6.737127,glioma
-5.7724957,glioma
5.7044744,glioma
-19.281855,glioma
-3.5942836,glioma
0.10688437,glioma
-5.216035,glioma
2.1347709,glioma
-2.2425444,glioma
0.7628116,glioma
-7.6720467,glioma
-6.1013694,glioma
-2.230407,glioma
6.4870706,glioma
-7.1072216,glioma
-8.706718,glioma
4.0184264,glioma
5.8798976,glioma
0.47813463,glioma
-20.615946,glioma
1.1017594,glioma
-4.87128,glioma
-13.757916,glioma
-30.045256,glioma
-4.036465,glioma
-5.6711197,glioma
0.88970155,glioma
0.28915575,glioma
-0.09383774,glioma
-4.0562105,glioma
-10.996931,glioma
-12.768612,glioma
-12.737883,glioma
-17.358261,glioma
-21.837114,glioma
-4.21701,glioma
-12.616095,glioma
-36.70299,glioma
-29.37205,glioma
-33.588318,glioma
-17.717041,glioma
-17.153612,glioma
-19.744007,glioma
-12.23286,glioma
-17.242615,glioma
10.100535,glioma
19.66603,glioma
9.293228,glioma
22.52045,glioma
-9.363678,glioma
-10.573451,glioma
-14.931048,glioma
-9.046326,glioma
-10.504732,glioma
-17.314615,glioma
-14.588298,glioma
-24.336962,glioma
-25.41781,glioma
-15.661233,glioma
-12.540828,glioma
-5.94554,glioma
-12.219004,glioma
13.059652,glioma
4.439652,glioma
6.871793,glioma
3.887197,glioma
-2.1580799,glioma
-7.2175694,glioma
-20.720089,glioma
-14.454828,glioma
-15.871278,glioma
0.24762313,glioma
22.105333,glioma
27.709843,glioma
17.18298,glioma
0.08610427,glioma
0.63592327,glioma
1.3954153,glioma
5.9785433,glioma
9.719971,glioma
22.811874,glioma
19.072735,glioma
10.69168,glioma
-6.8530593,glioma
-5.986033,glioma
-16.784966,glioma
-18.78316,glioma
-26.426142,glioma
-37.26904,glioma
-7.339355,glioma
3.4764736,glioma
-1.8686045,glioma
4.028579,glioma
-2.2932723,glioma
3.7764773,glioma
